user,gender,dob,height_cm,weight_kg,currentlocation,sweats,coldhf,exercise
eK2407xI,M,1995/07/20,181,98.3,"Johannesburg, South Africa",Y,Y,Once per week
Mo5591Eq,M,1993/11/15,182,62.9,"Darwin, Australia",Y,Y,Once per week
bT7297uN,M,1983/05/30,183,93.8,"Alexandria, Egypt",Y,Y,Every day
sB7531wh,M,1997/01/14,176,49.6,"Vancouver, Canada",Y,Y,Never
ZR2445Tl,M,1984/03/04,181,75.4,"Yaounde, Cameroon",Y,Y,1 or 2 times per month
YI7321Hf,M,1984/08/05,185,65.0,"Darwin, Australia",Y,N,A couple of times per week
tX6613Ia,M,1982/08/28,177,53.3,"Kolkata, India",Y,N,Every other day
UQ2081wu,M,1987/01/14,177,68.9,"Kampala, Uganda",Y,N,Every other day
vC0702ZS,M,1992/11/09,184,81.3,"Vancouver, Canada",Y,Y,A couple of times per week
pc6295Hc,M,2002/08/28,179,73.7,"Kinshasa, Republic of the Congo",Y,Y,A couple of times per week
Me4661of,M,1989/07/26,174,60.6,"Busan, South Korea",N,Y,Never
Cc3608wQ,M,1997/04/09,183,63.6,"Mexico City, Mexico",N,Y,1 or 2 times per month
HX7934EU,M,1992/04/25,185,71.9,"Venice, Italy",Y,N,Every other day
HX0268AJ,M,1986/05/04,181,62.2,"Kyoto, Japan",Y,N,A couple of times per week
Ln0030dE,M,1994/10/19,178,63.4,"Kabul, Afghanistan",Y,Y,Once per week
fT8322MM,M,1992/02/20,187,94.4,"Harare, Zimbabwe",Y,Y,Once per week
HE6691Ex,M,2000/08/19,180,71.3,"Cali, Colombia",N,N,Every other day
pT9840AP,M,1987/01/28,186,76.1,"Kano, Nigeria",N,Y,Every day
Lk2098Dy,M,1986/12/20,170,63.6,"Valparaiso, Chile",N,Y,Every other day
mg3305sW,M,1995/07/14,184,81.3,"Bengaluru, India",Y,N,A couple of times per week
yF4602qL,M,2004/08/07,184,91.4,"Munich, Germany",N,N,Every other day
Jq3975er,M,1983/10/14,186,72.7,"Kyoto, Japan",Y,N,A couple of times per week
ii6562MO,M,1987/12/07,185,95.8,"Luanda, Angola",Y,Y,A couple of times per week
Aq3586xj,M,1989/08/18,176,68.1,"Las Vegas, United States",Y,Y,Every other day
EQ5995Ja,M,2003/09/18,185,78.7,"Jakarta, Indonesia",N,Y,Every other day
gk9013gx,M,1993/07/19,180,68.0,"Mexico City, Mexico",Y,N,1 or 2 times per month
Wj6530lj,M,1992/10/23,185,75.3,"Punta Arenas, Chile",N,Y,A couple of times per week
WQ2826lI,M,1995/05/08,180,77.8,"Camayenne, Guinea",Y,N,Never
yo8105oH,M,1997/04/27,181,91.7,"Vienna, Austria",N,N,Once per week
hL9863Po,M,2002/07/22,198,86.2,"Dhaka, Bangladesh",Y,Y,Once per week
db2951uV,M,1997/03/21,179,76.9,"Auckland, New Zealand",N,N,Every other day
ZO4709dk,M,1998/04/16,180,58.3,"Nice, France",Y,N,Every other day
iK1882Fy,M,1988/09/26,181,62.2,"Lahore, Pakistan",Y,N,Once per week
by7268gT,M,1997/10/01,180,64.8,"Jeddah, Saudi Arabia",Y,Y,Every other day
ad2707kd,M,1989/04/20,178,63.4,"Beirut, Lebanon",Y,N,Once per week
qQ5304ak,M,1994/04/15,174,57.5,"Christchurch, New Zealand",Y,Y,Every day
NF7515Fe,M,1990/01/09,181,62.2,"Kampala, Uganda",Y,Y,A couple of times per week
kj3600Qt,M,2002/09/05,177,56.4,"Los Angeles, United States",Y,Y,Every day
EM8792YO,M,2005/12/23,183,70.3,"Mumbai, India",Y,Y,Every other day
Pt4252Dy,M,2001/04/02,185,82.1,"Frankfurt, Germany",N,Y,Every other day
Ua5068VE,M,1990/01/16,180,90.7,"Bariloche, Argentina",Y,Y,1 or 2 times per month
rU0110QT,M,1988/02/29,193,108.0,"Brisbane, Australia",Y,Y,A couple of times per week
mm8554Xq,M,1996/01/07,185,71.9,"Cairo, Egypt",Y,Y,Once per week
Mm8401ZC,M,1993/06/14,178,60.2,"Abidjan, Ivory Coast",N,Y,Every other day
Hk5129qK,M,1993/05/14,189,71.4,"Antalya, Turkey",N,Y,A couple of times per week
qo0946gK,M,1990/11/24,180,61.6,"Lima, Peru",Y,Y,Every day
Fp3581Vg,M,2004/06/13,183,100.5,"Mar del Plata, Argentina",Y,N,Once per week
me2025HB,M,2006/03/20,178,72.9,"Colonia del Sacramento, Uruguay",N,Y,Every other day
uM9100zf,M,1994/10/20,177,62.7,"Santiago, Chile",Y,N,A couple of times per week
or7208fN,M,1987/12/04,172,59.2,"Georgetown, Guyana",Y,N,A couple of times per week
nM8564hP,M,2003/10/13,175,70.4,"Montevideo, Uruguay",Y,N,Once per week
ak0775tf,M,2000/09/26,185,82.1,"Surat, India",Y,Y,Every day
zH8576gT,M,1993/02/07,184,74.5,"Nairobi, Kenya",Y,N,A couple of times per week
Fl9701cS,M,2002/12/31,179,73.7,"Rhodes, Greece",N,Y,A couple of times per week
Ps1555bK,M,1996/03/12,178,66.5,"Riyadh, Saudi Arabia",Y,N,Never
WW3729Wc,M,2005/09/20,182,66.2,"Madrid, Spain",N,Y,Every other day
PK1005FZ,M,1990/03/17,185,99.3,"Jakarta, Indonesia",Y,N,1 or 2 times per month
GZ3197ve,M,1983/03/19,179,67.3,"Sydney, Australia",Y,N,Once per week
YH9351pI,M,2003/07/01,184,84.6,"Mexico City, Mexico",Y,Y,Every day
iX5675uD,M,1989/07/01,181,78.6,"Athens, Greece",Y,Y,A couple of times per week
KJ6690fQ,M,1999/04/30,179,76.9,"Arequipa, Peru",N,N,Every day
Au0953Nd,M,2000/08/25,171,67.3,"Mar del Plata, Argentina",Y,Y,Every other day
ZA4489hs,M,1984/04/20,180,97.2,"Kuala Lumpur, Malaysia",N,N,Once per week
ZL3612Ij,M,1999/09/25,185,71.9,"Lubumbashi, Republic of the Congo",Y,Y,Once per week
HB4550Ko,M,1987/01/28,185,65.0,"Nairobi, Kenya",N,N,Never
Rz5965Lc,M,2004/08/09,180,81.0,"Colonia del Sacramento, Uruguay",N,Y,A couple of times per week
qQ7974or,M,1994/05/15,176,80.5,"Nairobi, Kenya",Y,Y,A couple of times per week
pk8268Dr,M,1991/12/25,180,77.8,"Shenzhen, China",N,N,Every day
Xm1031kg,M,2003/02/07,184,88.0,"Riyadh, Saudi Arabia",Y,N,A couple of times per week
xQ3072oY,M,2005/09/17,182,66.2,"Venice, Italy",N,Y,Every other day
xv7450SV,M,1989/02/13,181,72.1,"Hanoi, Vietnam",Y,Y,1 or 2 times per month
or1023SU,M,1991/02/05,179,51.3,"Harare, Zimbabwe",N,N,Once per week
SY8363yi,M,1995/12/09,179,70.5,"Moscow, Russia",Y,Y,1 or 2 times per month
BT9434of,M,2003/06/17,180,87.5,"Brisbane, Australia",N,Y,A couple of times per week
sw2681yz,M,1995/03/15,182,79.5,"London, United Kingdom",Y,Y,A couple of times per week
mv4236yt,M,2000/12/31,180,61.6,"Medellin, Colombia",Y,Y,A couple of times per week
kO4522oG,M,1988/02/26,186,65.7,"Algiers, Algeria",Y,Y,A couple of times per week
sE5792Ql,M,1998/04/14,185,75.3,"Luanda, Angola",Y,Y,Every other day
xz5501Ky,M,2002/09/28,181,78.6,"Jakarta, Indonesia",Y,Y,Every other day
uK4972TC,M,1984/07/23,181,68.8,"Osaka, Japan",Y,Y,A couple of times per week
bp8672mc,M,1994/03/30,179,60.9,"Chennai, India",Y,Y,Every other day
fr0988Qn,M,1983/05/20,175,85.8,"Durban, South Africa",N,Y,A couple of times per week
EN5413UD,M,1985/04/22,182,62.9,"Budapest, Hungary",N,Y,A couple of times per week
ja5233vo,M,1990/10/15,178,69.7,"Yaounde, Cameroon",Y,Y,A couple of times per week
NZ4822iU,M,2003/06/03,180,77.8,"Perth, Australia",Y,N,Every other day
bp2521Og,M,1990/02/25,178,63.4,"Camayenne, Guinea",N,Y,A couple of times per week
iw4215gQ,M,1987/07/29,181,52.4,"Dar es Salaam, Tanzania",Y,Y,1 or 2 times per month
sg1856je,M,2003/07/03,180,64.8,"Guayaquil, Ecuador",Y,N,Every other day
KD0698nd,M,1987/08/31,180,77.8,"Canberra, Australia",N,Y,Once per week
ZV7903jI,M,1997/12/01,180,58.3,"Venice, Italy",Y,Y,Every other day
DC2516bP,M,1983/08/24,169,62.8,"Addis Ababa, Ethiopia",Y,Y,Every other day
OT8900FR,M,1983/09/16,187,80.4,"Pretoria, South Africa",Y,N,A couple of times per week
Ce1329eq,M,1994/04/03,179,86.5,"Paris, France",Y,N,Every day
Ig9543fb,M,2005/07/05,191,98.5,"Jeddah, Saudi Arabia",Y,Y,A couple of times per week
BW7838Xf,M,2006/09/21,188,74.2,"Porto, Portugal",Y,N,Every other day
YO1728PF,M,1988/04/24,171,70.2,"Damascus, Syria",Y,Y,A couple of times per week
ir9028ml,M,1997/08/20,170,63.6,"Dhaka, Bangladesh",Y,Y,A couple of times per week
wO8382aE,M,1991/12/12,184,74.5,"Bangkok, Thailand",N,Y,A couple of times per week
xN8471Ld,M,1995/05/14,181,72.1,"Kaduna, Nigeria",Y,N,Every day
Nf6977Oa,M,1992/07/12,179,73.7,"Lisbon, Portugal",N,N,Every other day
OR6610dd,M,2005/05/29,182,79.5,"Rabat, Morocco",N,N,A couple of times per week
wc4218Pj,M,1993/05/13,184,77.9,"Casablanca, Morocco",Y,Y,Every other day
th5079Xu,M,1989/11/24,180,71.3,"Rhodes, Greece",Y,N,Once per week
aq1383EO,M,1990/06/25,181,59.0,"Shanghai, China",Y,N,Every other day
uc4763sq,M,2005/04/14,183,100.5,"Alexandria, Egypt",Y,Y,Every other day
kP9356Nc,M,1992/03/19,179,67.3,"Giza, Egypt",Y,Y,Every other day
zx2735qS,M,2000/03/24,182,53.0,"Berlin, Germany",Y,N,A couple of times per week
Ce8825BT,M,1998/01/06,190,108.3,"Miami, United States",N,Y,Never
dj3649fS,M,1997/05/20,186,58.8,"London, United Kingdom",N,Y,Once per week
Pe5506rY,M,1998/01/19,179,54.5,"Sydney, Australia",N,Y,Once per week
ql3033bk,M,2001/03/31,184,94.8,"Accra, Ghana",N,Y,A couple of times per week
if8609kc,M,2006/09/26,185,78.7,"Lubumbashi, Republic of the Congo",Y,Y,A couple of times per week
ID5956Dj,M,1990/08/04,174,72.7,"Kaduna, Nigeria",Y,N,Every day
Wq5490Rs,M,1983/11/19,187,80.4,"Brisbane, Australia",Y,Y,Once per week
xK9049oL,M,2002/12/17,178,76.0,"Brisbane, Australia",N,Y,Every other day
RM9795Ee,M,1983/02/12,184,67.7,"Busan, South Korea",N,N,Every other day
KJ0084CL,M,2005/08/09,177,59.5,"Benin City, Nigeria",N,Y,A couple of times per week
fU1243rZ,M,1990/07/16,179,64.1,"Bariloche, Argentina",Y,Y,1 or 2 times per month
nh5354pG,M,1983/06/02,164,88.8,"Darwin, Australia",N,Y,A couple of times per week
lp9181EJ,M,1996/04/27,184,74.5,"Rabat, Morocco",Y,N,A couple of times per week
Ar5342zt,M,1984/06/23,183,63.6,"Kyoto, Japan",Y,Y,Once per week
rg4600sC,M,1996/09/04,186,69.2,"Melbourne, Australia",Y,N,Every other day
xu8634EW,M,1991/09/02,180,87.5,"Accra, Ghana",Y,Y,A couple of times per week
lr9228vl,M,1992/01/21,182,82.8,"Toronto, Canada",Y,Y,Every other day
Yh5629TH,M,1985/11/28,184,77.9,"Beijing, China",Y,Y,Every other day
Ov1160Wd,M,1988/07/22,185,71.9,"Frankfurt, Germany",N,Y,Every other day
Gw5754xv,M,1999/04/09,177,62.7,"Las Vegas, United States",N,Y,1 or 2 times per month
kr0711Gd,M,1993/06/14,178,69.7,"Lahore, Pakistan",N,Y,A couple of times per week
bC7643Gm,M,1992/03/22,184,101.6,"Camayenne, Guinea",Y,Y,A couple of times per week
wK8449Ij,M,1989/11/05,188,70.7,"Osaka, Japan",N,N,Once per week
Gv9753ZE,M,2003/06/25,166,63.4,"Shanghai, China",Y,N,A couple of times per week
ta5372Vq,M,1990/11/02,189,67.9,"Beirut, Lebanon",Y,Y,Every other day
BU2446kl,M,1991/03/10,169,65.7,"Soweto, South Africa",N,Y,A couple of times per week
kF7216bI,M,2000/02/21,179,73.7,"Warsaw, Poland",Y,Y,Every other day
cs3175Fe,M,2002/08/11,180,74.5,"Casablanca, Morocco",Y,N,A couple of times per week
iw2249za,M,1986/01/22,172,65.1,"Buenos Aires, Argentina",Y,N,Never
yn8637Ux,M,2000/12/04,183,70.3,"Yaounde, Cameroon",Y,Y,A couple of times per week
hB9902YT,M,2000/01/21,179,70.5,"Rhodes, Greece",Y,Y,A couple of times per week
Up5044eX,M,1993/08/13,183,80.4,"Aleppo, Syria",Y,N,1 or 2 times per month
oF5467Sw,M,2002/10/18,165,73.5,"Guayaquil, Ecuador",Y,N,Every other day
eM7817pV,M,1988/09/22,182,89.4,"Las Vegas, United States",Y,Y,Every other day
Lk9021dr,M,1998/05/07,183,60.3,"Rio de Janeiro, Brazil",Y,Y,1 or 2 times per month
Mg4845mh,M,1995/11/24,179,67.3,"Ushuaia, Argentina",Y,N,Every day
tV7636Ja,M,1999/10/26,207,102.8,"Kampala, Uganda",Y,Y,A couple of times per week
OU9932qH,M,1990/04/27,184,71.1,"London, United Kingdom",N,Y,1 or 2 times per month
lb1049jA,M,1990/11/25,183,97.1,"Ushuaia, Argentina",Y,Y,A couple of times per week
OP9828lJ,M,2005/11/12,183,63.6,"Cancun, Mexico",N,Y,1 or 2 times per month
ER7329ra,M,2000/12/31,181,59.0,"Taipei, Taiwan",Y,Y,Every other day
HR2901Fc,M,1993/04/09,179,60.9,"Copenhagen, Denmark",Y,Y,Every other day
Bv9901Uf,M,1996/06/21,186,100.3,"La Paz, Bolivia",Y,N,Every day
xL2989cG,M,1984/03/19,171,55.6,"Cusco, Peru",N,Y,A couple of times per week
SE6656ex,M,1990/12/05,179,64.1,"Lagos, Nigeria",Y,N,Once per week
Ob6607LN,M,2006/02/26,169,62.8,"Manila, Philippines",Y,N,A couple of times per week
Dn5108aZ,M,1999/04/16,181,59.0,"Berlin, Germany",N,Y,A couple of times per week
sX3602mb,M,2003/11/25,177,84.6,"Hong Kong, Hong Kong",N,N,Every other day
kU0535nx,M,2006/07/10,182,66.2,"Ibadan, Nigeria",Y,N,Every other day
lS9807XH,M,2005/11/26,180,64.8,"Beijing, China",Y,Y,Once per week
YR9074Jl,M,1983/02/05,182,79.5,"Georgetown, Guyana",N,Y,A couple of times per week
Vp7916xh,M,1983/03/05,168,93.1,"Abidjan, Ivory Coast",N,N,Every other day
gJ7247ib,M,1992/02/11,179,64.1,"Johannesburg, South Africa",Y,Y,Once per week
qA3079AV,M,1988/10/11,179,83.3,"Antananarivo, Madagascar",N,N,Every other day
bE8204qP,M,1994/09/06,188,99.0,"Durban, South Africa",Y,N,A couple of times per week
Ss3783et,M,1998/09/21,183,67.0,"Cancun, Mexico",Y,Y,Once per week
Xx5957BZ,M,1998/01/20,180,68.0,"Cape Town, South Africa",N,Y,Once per week
Rc7068sJ,M,1993/08/30,186,72.7,"Yaounde, Cameroon",Y,Y,Every other day
PW5863Ui,M,1998/09/01,175,67.4,"Valparaiso, Chile",Y,Y,Every other day
kS9844tx,M,1997/10/16,184,67.7,"Antananarivo, Madagascar",Y,Y,A couple of times per week
hq2950nC,M,1996/10/03,180,97.2,"Moscow, Russia",Y,Y,Every day
cf9271ov,M,2005/05/27,196,103.7,"Georgetown, Guyana",Y,Y,Every day
gO3714Co,M,2006/05/30,179,96.1,"Mogadishu, Somalia",Y,N,A couple of times per week
je4589wl,M,1996/05/04,180,94.0,"Phnom Penh, Cambodia",Y,N,Every other day
kL0445Sf,M,1985/10/30,184,54.2,"Sucre, Bolivia",N,Y,Never
KH5949fe,M,1986/08/11,178,72.9,"Abidjan, Ivory Coast",N,Y,Once per week
ky3277wc,M,1993/11/09,183,67.0,"Melbourne, Australia",N,Y,Every other day
YJ3866sR,M,1993/10/16,180,68.0,"Lubumbashi, Republic of the Congo",N,Y,Every day
BQ8060eI,M,2000/07/19,165,59.9,"Douala, Cameroon",Y,Y,Every day
IO9758Wr,M,2003/12/05,184,74.5,"Cartagena, Colombia",Y,Y,Once per week
pq4558aL,M,2003/02/12,185,71.9,"Shenzhen, China",Y,Y,A couple of times per week
ru3861CZ,M,2004/11/10,169,60.0,"Lahore, Pakistan",N,N,A couple of times per week
XN6070PX,M,1994/07/17,177,94.0,"Antananarivo, Madagascar",N,Y,A couple of times per week
iU3175lJ,M,1996/06/08,185,82.1,"Lubumbashi, Republic of the Congo",Y,Y,A couple of times per week
CH0413Id,M,1990/10/02,187,66.4,"Vienna, Austria",Y,Y,Every day
hB4661jn,M,1991/02/11,180,77.8,"Istanbul, Turkey",Y,Y,Every other day
hw8161YT,M,1987/09/09,183,80.4,"Delhi, India",Y,Y,Once per week
Sc7543YD,M,1992/10/10,179,57.7,"New York City, United States",N,Y,A couple of times per week
OS6724CE,M,1996/06/07,169,60.0,"Toronto, Canada",Y,Y,Every other day
DW4971NY,M,2000/08/09,178,66.5,"Taipei, Taiwan",N,Y,Every other day
GJ5242cs,M,1986/04/08,187,115.4,"Lahore, Pakistan",Y,Y,Every other day
IJ9409an,M,1991/10/18,179,92.9,"Rhodes, Greece",N,N,A couple of times per week
YL4453bd,M,1985/07/23,162,55.1,"Ushuaia, Argentina",N,Y,A couple of times per week
LU0793LM,M,1998/02/11,184,67.7,"Madrid, Spain",N,N,A couple of times per week
yG7236Eg,M,1982/10/17,155,52.9,"Warsaw, Poland",Y,Y,Every day
Xc7644Yu,M,2000/12/13,179,60.9,"Potosi, Bolivia",Y,Y,A couple of times per week
qU8648PP,M,1984/06/17,157,51.8,"Mogadishu, Somalia",Y,N,A couple of times per week
km9235bH,M,1988/07/20,184,67.7,"Copenhagen, Denmark",N,N,Every other day
YL7568nI,M,1999/07/17,184,74.5,"Budapest, Hungary",Y,Y,A couple of times per week
QM1487Ho,M,1983/05/02,175,73.5,"Auckland, New Zealand",Y,Y,A couple of times per week
Hg0185eC,M,1992/03/19,175,70.4,"Ibadan, Nigeria",Y,Y,A couple of times per week
TH1075vd,M,2005/02/20,182,72.9,"Beijing, China",Y,N,Every other day
eY9433Ns,M,1987/12/16,185,75.3,"Darwin, Australia",Y,N,A couple of times per week
MG1357EO,M,1999/04/21,186,72.7,"Dar es Salaam, Tanzania",N,N,1 or 2 times per month
Zf0311Hs,M,1990/12/06,177,65.8,"Baghdad, Iraq",N,N,Every other day
lW4143WI,M,1995/09/28,183,63.6,"Sucre, Bolivia",Y,Y,A couple of times per week
ZZ7802qp,M,2001/05/26,181,75.4,"Lisbon, Portugal",Y,N,Every day
WT1427pa,M,1982/12/01,179,83.3,"Rhodes, Greece",Y,N,1 or 2 times per month
qA3480tk,M,1993/01/26,179,67.3,"Algiers, Algeria",Y,N,Every day
Bo5611sv,M,1994/01/16,175,64.3,"Mumbai, India",N,N,Every other day
Yu2438rs,M,2003/09/26,176,71.2,"Darwin, Australia",Y,Y,1 or 2 times per month
Ce4977jv,M,1994/09/20,185,82.1,"Istanbul, Turkey",Y,Y,A couple of times per week
vw7447dX,M,1983/04/22,182,72.9,"Cape Town, South Africa",N,Y,Every day
SU0386yH,M,1988/05/30,186,55.4,"Chattogram, Bangladesh",Y,Y,Once per week
qN6221eZ,M,1991/12/11,174,63.6,"Orlando, United States",Y,Y,Every day
KB8380Ci,M,2002/12/23,183,70.3,"Antananarivo, Madagascar",Y,Y,Every day
yt8241Ci,M,2005/06/11,171,70.2,"Aleppo, Syria",N,N,Every other day
rP6329ah,M,1994/10/02,176,92.9,"Los Angeles, United States",Y,Y,A couple of times per week
pR3297uc,M,1989/05/29,181,78.6,"Venice, Italy",N,N,1 or 2 times per month
Re8385Kg,M,1999/11/05,179,60.9,"Kabul, Afghanistan",N,N,A couple of times per week
ib0947Wr,M,2004/08/19,170,63.6,"Las Vegas, United States",Y,Y,Once per week
KZ1635Si,M,1999/06/02,172,62.1,"Buenos Aires, Argentina",Y,Y,Every day
lm2213QC,M,1999/06/02,179,80.1,"Kano, Nigeria",Y,N,Once per week
af0438zm,M,1993/11/10,176,92.9,"Vienna, Austria",Y,N,Once per week
xj2405PY,M,1991/11/16,185,82.1,"Mar del Plata, Argentina",N,N,Every other day
li2435NH,M,2004/12/24,175,70.4,"Yangon, Myanmar",N,Y,Never
yP0905zr,M,1994/10/21,185,82.1,"Lima, Peru",Y,Y,1 or 2 times per month
SN9244bI,M,2004/06/27,179,51.3,"Kano, Nigeria",N,Y,Every other day
nF9591BZ,M,1994/05/29,185,78.7,"Khartoum, Sudan",Y,Y,Every other day
Ns0660in,M,1987/11/26,186,65.7,"Giza, Egypt",N,Y,Never
xk9562nr,M,1988/05/29,182,92.7,"Singapore, Singapore",Y,N,Once per week
PE8153Ct,M,1992/08/04,181,78.6,"Quito, Ecuador",N,Y,Every day
Bi5645MC,M,2005/06/15,174,57.5,"Athens, Greece",N,Y,A couple of times per week
Yv4132SD,M,1996/08/20,168,42.3,"Lagos, Nigeria",N,N,A couple of times per week
sR2248Li,M,1985/03/04,184,64.3,"Benin City, Nigeria",Y,Y,Every other day
qe5349HL,M,1990/08/30,185,82.1,"Khartoum, Sudan",Y,N,Once per week
ez2256qN,M,1996/05/24,184,77.9,"Lisbon, Portugal",Y,N,Every day
pX2116Vy,M,2005/03/19,185,68.4,"Conakry, Guinea",N,Y,A couple of times per week
IW2350gb,M,1994/02/12,179,80.1,"Brussels, Belgium",Y,Y,Every day
aL2252Er,M,1988/06/10,181,75.4,"Pyongyang, North Korea",N,Y,Once per week
Ur5990Sp,M,2006/04/21,185,71.9,"Auckland, New Zealand",N,Y,Every day
MS5496Ce,M,2001/05/27,174,66.6,"Moscow, Russia",Y,Y,Once per week
ul6252fW,M,1999/02/13,167,66.9,"Saint Petersburg, Russia",Y,N,A couple of times per week
XK5040iw,M,1997/10/14,205,96.7,"Yokohama, Japan",N,N,1 or 2 times per month
aS6364rC,M,2002/09/06,181,88.5,"Chennai, India",Y,Y,Every day
ps2112ES,M,2004/10/18,180,51.8,"Colonia del Sacramento, Uruguay",Y,Y,Once per week
Qp1841Jq,M,2004/09/28,181,72.1,"Hong Kong, Hong Kong",N,Y,Every other day
Bk3907Ij,M,1995/10/24,176,89.8,"Vancouver, Canada",Y,N,Once per week
rg1296IO,M,2006/04/15,174,57.5,"Baghdad, Iraq",Y,Y,Every other day
nJ2836te,M,2000/08/23,176,71.2,"La Paz, Bolivia",Y,Y,Every other day
sY4847Zz,M,1996/10/15,176,55.8,"Luanda, Angola",Y,N,Once per week
gi0820xj,M,1996/01/07,184,67.7,"Seoul, South Korea",N,N,1 or 2 times per month
sH7240GT,M,2004/09/05,181,88.5,"Kinshasa, Republic of the Congo",N,Y,1 or 2 times per month
iT0396oU,M,2005/09/17,181,72.1,"Durban, South Africa",Y,Y,Never
ke7082Ux,M,1999/07/10,182,76.2,"Saint Petersburg, Russia",N,N,Once per week
MP8134QR,M,2004/01/09,179,70.5,"Shenzhen, China",Y,Y,Every other day
uI9809VX,M,1989/06/24,182,69.6,"Lagos, Nigeria",N,Y,Never
or6667Yj,M,2003/02/01,184,98.2,"Vancouver, Canada",N,Y,Never
fn4157RK,M,1990/02/23,164,86.1,"Colonia del Sacramento, Uruguay",Y,Y,Every other day
fj6388gE,M,1999/09/20,178,66.5,"Benin City, Nigeria",Y,Y,Once per week
Yv9374eX,M,2003/04/14,172,56.2,"Jeddah, Saudi Arabia",N,Y,Once per week
Yb2379ZW,M,2003/03/28,182,99.4,"Lubumbashi, Republic of the Congo",N,Y,A couple of times per week
Hf2258fV,M,1984/05/17,183,97.1,"Sucre, Bolivia",Y,N,1 or 2 times per month
aZ2455nb,M,2005/04/19,177,65.8,"Riyadh, Saudi Arabia",Y,N,Every other day
yM9709aB,M,2002/09/05,181,78.6,"Mumbai, India",Y,Y,Every day
sX1739sv,M,1990/05/31,174,57.5,"Antalya, Turkey",N,Y,Once per week
cE5338Ma,M,1988/04/13,175,73.5,"Phnom Penh, Cambodia",Y,Y,A couple of times per week
mq0968ah,M,1999/12/18,178,66.5,"Valparaiso, Chile",Y,Y,Every day
gX2407FL,M,1998/05/13,166,63.4,"Antalya, Turkey",Y,Y,Every other day
kj4401xK,M,1995/01/13,183,73.7,"Otavalo, Ecuador",N,N,Every other day
Mq7323eP,M,2003/06/15,180,74.5,"Accra, Ghana",Y,N,Every other day
oB1997ZR,M,1988/04/16,181,88.5,"Colonia del Sacramento, Uruguay",N,N,A couple of times per week
iy2750ve,M,2006/04/22,185,92.4,"Dubai, United Arab Emirates",Y,Y,A couple of times per week
hH3167xn,M,1992/08/28,182,76.2,"Antananarivo, Madagascar",Y,Y,A couple of times per week
vP8192JH,M,1990/03/06,179,73.7,"Delhi, India",Y,Y,Once per week
Hu0987Bd,M,1988/02/13,184,94.8,"Yaounde, Cameroon",Y,N,Once per week
af3804fm,M,1996/03/23,153,51.5,"Berlin, Germany",Y,Y,A couple of times per week
fD0958Qs,M,1986/09/22,184,64.3,"Hanoi, Vietnam",Y,Y,1 or 2 times per month
jN4507Mh,M,1998/03/26,184,81.3,"Cusco, Peru",N,Y,Every other day
QU3069qg,M,1991/10/30,179,76.9,"Douala, Cameroon",Y,N,A couple of times per week
mZ3675dK,M,2004/05/24,179,76.9,"Otavalo, Ecuador",N,N,Once per week
BW4472wN,M,1996/05/10,158,59.9,"Cali, Colombia",Y,Y,Every other day
Kz5389kQ,M,2005/11/12,184,71.1,"Cali, Colombia",N,Y,A couple of times per week
mz8794Ix,M,1990/10/29,180,68.0,"Pretoria, South Africa",Y,N,A couple of times per week
rd8984wj,M,1989/04/03,174,90.8,"Porto, Portugal",Y,N,Every day
kA7531Fs,M,1983/11/19,179,102.5,"Khartoum, Sudan",N,Y,A couple of times per week
yl8446tH,M,1998/12/03,167,61.4,"Port Harcourt, Nigeria",N,Y,A couple of times per week
OC1539uO,M,1996/01/15,180,71.3,"Jeddah, Saudi Arabia",N,Y,Every other day
md6919Vg,M,1986/07/31,156,41.4,"Cuenca, Ecuador",Y,Y,Once per week
TC5355sb,M,1986/05/15,183,73.7,"San Francisco, United States",Y,Y,Once per week
Cd6618mf,M,1999/08/20,182,56.3,"Antalya, Turkey",Y,Y,Every day
Fw0047bf,M,1996/11/12,179,67.3,"Delhi, India",Y,N,Once per week
VI0850xl,M,1987/05/16,180,77.8,"Arequipa, Peru",Y,Y,Once per week
AI7958mA,M,1982/12/03,181,75.4,"Cartagena, Colombia",Y,Y,Every other day
WM0613Wq,M,1989/09/22,180,64.8,"Mar del Plata, Argentina",N,Y,Once per week
rz7803Fp,M,1993/07/15,172,65.1,"Kyoto, Japan",Y,Y,Every other day
qf5805qn,M,2001/05/18,184,74.5,"Mumbai, India",Y,Y,Once per week
vr8802dz,M,1996/05/14,180,64.8,"Istanbul, Turkey",N,Y,Once per week
Dp8031FW,M,2004/04/11,186,69.2,"Colonia del Sacramento, Uruguay",Y,N,Once per week
Ag3084sH,M,1998/06/24,180,77.8,"Milan, Italy",N,N,Every other day
QY2733Zj,M,2005/12/09,179,76.9,"Cuenca, Ecuador",Y,Y,Every other day
Lr2921Qc,M,2005/12/17,184,54.2,"Istanbul, Turkey",Y,Y,Never
yx7489zN,M,1996/03/14,181,62.2,"Athens, Greece",Y,Y,Every other day
Ln9760XH,M,1997/07/03,180,71.3,"Colonia del Sacramento, Uruguay",Y,N,Every other day
yz6952xw,M,1993/08/02,179,60.9,"Rome, Italy",Y,N,A couple of times per week
Ip0436CV,M,2006/11/23,180,84.2,"Surat, India",Y,N,Every day
Oi0318yC,M,2005/05/08,176,58.9,"Alexandria, Egypt",N,N,A couple of times per week
Wv9380qK,M,2003/11/11,183,77.0,"Alexandria, Egypt",N,N,1 or 2 times per month
