user,gender,dob,age,bmi,currentlocation,currentcity,currentcountry,sweats,coldhf,exercise,genscore,height_cm,weight_kg,agescore,bmiscore,sweatscore,coldhfscore,exercisescore,dob.1,height_cm.1,weight_kg.1
pt4542SX,F,1994-05-08,28,healthy,"Singapore, Singapore",Singapore,Singapore,N,N,A couple of times per week,-2,173.0,62.9,0,0,0,0,0,1994-05-08,173.0,62.9
BU7388zg,F,1991-12-13,30,healthy,"Johannesburg, South Africa",Johannesburg,South Africa,N,N,Never,-2,175.0,73.5,0,0,0,0,0,1991-12-13,175.0,73.5
fZ0750Gg,F,1996-08-04,26,healthy,"Jakarta, Indonesia",Jakarta,Indonesia,Y,N,A couple of times per week,-2,150.0,47.2,0,0,1,0,0,1996-08-04,150.0,47.2
uH3837ME,F,1997-10-14,24,healthy,"Stockholm, Sweden",Stockholm,Sweden,N,Y,Every other day,-2,166.0,79.9,0,0,0,-2,1,1997-10-14,166.0,79.9
dV9942Zf,F,1989-08-04,33,healthy,"Punta Arenas, Chile",Punta Arenas,Chile,N,Y,A couple of times per week,-2,175.0,64.3,0,0,0,-2,0,1989-08-04,175.0,64.3
Ml7088Uc,F,2004-10-10,17,healthy,"Brazzaville, DR Congo",Brazzaville,DR Congo,N,Y,Every other day,-2,182.0,86.1,0,0,0,-2,1,2004-10-10,182.0,86.1
sR6309sb,F,1996-10-29,25,healthy,"Lima, Peru",Lima,Peru,Y,Y,Every other day,-2,173.0,59.9,0,0,1,-2,1,1996-10-29,173.0,59.9
OT8830Qq,F,1985-01-10,37,healthy,"Port Harcourt, Nigeria",Port Harcourt,Nigeria,Y,N,Never,-2,169.0,85.7,0,0,1,0,0,1985-01-10,169.0,85.7
rJ6103mj,F,1985-09-02,36,healthy,"Buenos Aires, Argentina",Buenos Aires,Argentina,Y,Y,A couple of times per week,-2,164.0,53.8,0,0,1,-2,0,1985-09-02,164.0,53.8
UW5830HI,F,1992-02-08,30,healthy,"Colonia del Sacramento, Uruguay",Colonia del Sacramento,Uruguay,N,N,Once per week,-2,165.0,59.9,0,0,0,0,0,1992-02-08,165.0,59.9
Ja0491nD,F,1994-06-15,28,healthy,"Medellin, Colombia",Medellin,Colombia,N,N,Every day,-2,167.0,72.5,0,0,0,0,1,1994-06-15,167.0,72.5
wb4935VO,F,1995-03-07,27,underweight,"Warsaw, Poland",Warsaw,Poland,Y,N,1 or 2 times per month,-2,174.0,51.5,0,-1,1,0,0,1995-03-07,174.0,51.5
lF8810EG,F,1998-06-10,24,healthy,"Hong Kong, Hong Kong",Hong Kong,Hong Kong,Y,N,Every other day,-2,171.0,73.1,0,0,1,0,1,1998-06-10,171.0,73.1
Zd9805WO,F,1982-12-01,39,healthy,"Kano, Nigeria",Kano,Nigeria,Y,Y,Once per week,-2,170.0,63.6,0,0,1,-2,0,1982-12-01,170.0,63.6
hD3299FZ,F,1983-06-06,39,healthy,"Brisbane, Australia",Brisbane,Australia,N,Y,Never,-2,169.0,57.1,0,0,0,-2,0,1983-06-06,169.0,57.1
fg1156nX,F,1989-08-22,32,healthy,"Antalya, Turkey",Antalya,Turkey,Y,Y,A couple of times per week,-2,174.0,66.6,0,0,1,-2,0,1989-08-22,174.0,66.6
Cq2412Vk,F,1998-01-23,24,healthy,"Antananarivo, Madagascar",Antananarivo,Madagascar,Y,N,Every other day,-2,167.0,78.1,0,0,1,0,1,1998-01-23,167.0,78.1
oN7898xs,F,1985-11-04,36,healthy,"Prague, Czech Republic",Prague,Czech Republic,N,N,Every day,-2,169.0,54.3,0,0,0,0,1,1985-11-04,169.0,54.3
lS4791jH,F,1994-09-24,27,healthy,"Shanghai, China",Shanghai,China,Y,N,Once per week,-2,164.0,51.1,0,0,1,0,0,1994-09-24,164.0,51.1
uJ4151Ff,F,1990-05-16,32,healthy,"Melbourne, Australia",Melbourne,Australia,N,Y,Once per week,-2,170.0,60.7,0,0,0,-2,0,1990-05-16,170.0,60.7
NG9134fH,F,1983-10-21,38,healthy,"Nice, France",Nice,France,N,N,Once per week,-2,170.0,57.8,0,0,0,0,0,1983-10-21,170.0,57.8
Xb7035hw,F,2006-01-08,16,healthy,"Venice, Italy",Venice,Italy,N,Y,A couple of times per week,-2,162.0,60.4,0,0,0,-2,0,2006-01-08,162.0,60.4
cQ9771om,F,2003-03-08,19,healthy,"Addis Ababa, Ethiopia",Addis Ababa,Ethiopia,Y,N,A couple of times per week,-2,171.0,61.4,0,0,1,0,0,2003-03-08,171.0,61.4
GM9615pc,F,2003-10-11,18,healthy,"Bengaluru, India",Bengaluru,India,N,Y,A couple of times per week,-2,170.0,60.7,0,0,0,-2,0,2003-10-11,170.0,60.7
dY0373OG,F,1991-04-07,31,healthy,"Bogota, Colombia",Bogota,Colombia,N,Y,A couple of times per week,-2,173.0,89.8,0,0,0,-2,0,1991-04-07,173.0,89.8
VM1746aZ,F,1996-12-06,25,healthy,"Dakar, Senegal",Dakar,Senegal,N,Y,A couple of times per week,-2,174.0,57.5,0,0,0,-2,0,1996-12-06,174.0,57.5
rw1893Xu,F,1987-10-21,34,healthy,"Busan, South Korea",Busan,South Korea,Y,N,Once per week,-2,167.0,58.6,0,0,1,0,0,1987-10-21,167.0,58.6
sF0480QN,F,1987-09-21,34,healthy,"Guayaquil, Ecuador",Guayaquil,Ecuador,N,N,A couple of times per week,-2,166.0,57.9,0,0,0,0,0,1987-09-21,166.0,57.9
ti5482rQ,F,2002-07-14,20,healthy,"Riyadh, Saudi Arabia",Riyadh,Saudi Arabia,N,N,Every other day,-2,169.0,60.0,0,0,0,0,1,2002-07-14,169.0,60.0
vI7746py,F,2000-04-15,22,healthy,"Phnom Penh, Cambodia",Phnom Penh,Cambodia,N,N,A couple of times per week,-2,168.0,93.1,0,0,0,0,0,2000-04-15,168.0,93.1
mq5296TO,F,1987-10-16,34,healthy,"Mumbai, India",Mumbai,India,Y,N,A couple of times per week,-2,174.0,63.6,0,0,1,0,0,1987-10-16,174.0,63.6
IA6821iT,F,1985-10-02,36,healthy,"Cape Town, South Africa",Cape Town,South Africa,N,N,Once per week,-2,158.0,62.4,0,0,0,0,0,1985-10-02,158.0,62.4
zu2283fQ,F,1993-04-28,29,healthy,"Lahore, Pakistan",Lahore,Pakistan,N,N,Never,-2,170.0,57.8,0,0,0,0,0,1993-04-28,170.0,57.8
LH2396LI,F,2000-05-14,22,underweight,"Aleppo, Syria",Aleppo,Syria,N,Y,A couple of times per week,-2,162.0,44.6,0,-1,0,-2,0,2000-05-14,162.0,44.6
nF1982Yu,F,1989-04-13,33,healthy,"Cape Town, South Africa",Cape Town,South Africa,N,N,Once per week,-2,173.0,56.9,0,0,0,0,0,1989-04-13,173.0,56.9
wk5176aS,F,1987-01-27,35,healthy,"Jakarta, Indonesia",Jakarta,Indonesia,N,Y,Every other day,-2,173.0,56.9,0,0,0,-2,1,1987-01-27,173.0,56.9
sa1780LL,F,1989-02-11,33,underweight,"Prague, Czech Republic",Prague,Czech Republic,N,N,1 or 2 times per month,-2,172.0,50.3,0,-1,0,0,0,1989-02-11,172.0,50.3
OW0280iH,F,1983-07-22,39,healthy,"Budapest, Hungary",Budapest,Hungary,N,N,A couple of times per week,-2,172.0,74.0,0,0,0,0,0,1983-07-22,172.0,74.0
uM4379vZ,F,2001-01-08,21,healthy,"Salta, Argentina",Salta,Argentina,Y,Y,Never,-2,148.0,59.1,0,0,1,-2,0,2001-01-08,148.0,59.1
Fv0901XW,F,1995-10-02,26,healthy,"Conakry, Guinea",Conakry,Guinea,Y,N,A couple of times per week,-2,174.0,69.6,0,0,1,0,0,1995-10-02,174.0,69.6
SX7809xr,F,1998-06-20,24,healthy,"Conakry, Guinea",Conakry,Guinea,Y,N,1 or 2 times per month,-2,157.0,51.8,0,0,1,0,0,1998-06-20,157.0,51.8
nW7824ip,F,1988-07-10,34,healthy,"Sydney, Australia",Sydney,Australia,Y,N,Never,-2,170.0,63.6,0,0,1,0,0,1988-07-10,170.0,63.6
il7643Ha,F,2003-06-09,19,healthy,"Durban, South Africa",Durban,South Africa,Y,N,A couple of times per week,-2,173.0,62.9,0,0,1,0,0,2003-06-09,173.0,62.9
iz5490cn,F,2005-01-13,17,underweight,"Kinshasa, Republic of the Congo",Kinshasa,Republic of the Congo,N,N,Never,-2,172.0,41.4,0,-1,0,0,0,2005-01-13,172.0,41.4
UQ3755Po,F,1985-10-21,36,healthy,"Dhaka, Bangladesh",Dhaka,Bangladesh,N,N,A couple of times per week,-2,170.0,80.9,0,0,0,0,0,1985-10-21,170.0,80.9
fL4149nT,F,1988-10-10,33,healthy,"Cancun, Mexico",Cancun,Mexico,N,Y,A couple of times per week,-2,168.0,90.3,0,0,0,-2,0,1988-10-10,168.0,90.3
hS0813dQ,F,2000-07-28,22,healthy,"Copenhagen, Denmark",Copenhagen,Denmark,N,Y,A couple of times per week,-2,174.0,81.7,0,0,0,-2,0,2000-07-28,174.0,81.7
Pu3608wI,F,1983-01-14,39,healthy,"Cape Town, South Africa",Cape Town,South Africa,Y,N,1 or 2 times per month,-2,172.0,76.9,0,0,1,0,0,1983-01-14,172.0,76.9
uQ2610vR,F,1990-09-24,31,healthy,"Ahmedabad, India",Ahmedabad,India,N,Y,A couple of times per week,-2,175.0,61.2,0,0,0,-2,0,1990-09-24,175.0,61.2
Ir4490zj,F,1983-02-13,39,healthy,"Heraklion, Greece",Heraklion,Greece,Y,Y,Every other day,-2,173.0,71.8,0,0,1,-2,1,1983-02-13,173.0,71.8
ce1199iZ,F,1989-05-06,33,healthy,"Toronto, Canada",Toronto,Canada,Y,N,Never,-2,174.0,63.6,0,0,1,0,0,1989-05-06,174.0,63.6
Yv9016bb,F,2001-06-04,21,healthy,"Harare, Zimbabwe",Harare,Zimbabwe,N,Y,A couple of times per week,-2,168.0,67.7,0,0,0,-2,0,2001-06-04,168.0,67.7
hg9801Os,F,2005-07-03,17,healthy,"Luanda, Angola",Luanda,Angola,N,N,1 or 2 times per month,-2,173.0,62.9,0,0,0,0,0,2005-07-03,173.0,62.9
YA7315Ty,F,2004-01-31,18,healthy,"Frankfurt, Germany",Frankfurt,Germany,Y,N,Every other day,-2,172.0,62.1,0,0,1,0,1,2004-01-31,172.0,62.1
du5982ec,F,2003-02-03,19,healthy,"Georgetown, Guyana",Georgetown,Guyana,N,N,Never,-2,174.0,72.7,0,0,0,0,0,2003-02-03,174.0,72.7
cF2829jT,F,1992-01-15,30,healthy,"Taipei, Taiwan",Taipei,Taiwan,N,N,Once per week,-2,167.0,78.1,0,0,0,0,0,1992-01-15,167.0,78.1
Iv9268uJ,F,1990-04-24,32,healthy,"Bariloche, Argentina",Bariloche,Argentina,N,N,A couple of times per week,-2,172.0,62.1,0,0,0,0,0,1990-04-24,172.0,62.1
tY1203bd,F,2006-07-07,16,healthy,"Yokohama, Japan",Yokohama,Japan,N,Y,A couple of times per week,-2,167.0,55.8,0,0,0,-2,0,2006-07-07,167.0,55.8
gL8524AG,F,1990-04-11,32,healthy,"Venice, Italy",Venice,Italy,N,Y,1 or 2 times per month,-2,168.0,62.1,0,0,0,-2,0,1990-04-11,168.0,62.1
Fi4096BK,F,1993-12-13,28,healthy,"Jakarta, Indonesia",Jakarta,Indonesia,Y,Y,A couple of times per week,-2,173.0,83.8,0,0,1,-2,0,1993-12-13,173.0,83.8
Ye8297xQ,F,1989-03-21,33,healthy,"Santiago, Chile",Santiago,Chile,Y,N,Every day,-2,169.0,77.1,0,0,1,0,1,1989-03-21,169.0,77.1
od2738gP,F,2006-09-11,15,healthy,"Potosi, Bolivia",Potosi,Bolivia,N,N,Every other day,-2,174.0,63.6,0,0,0,0,1,2006-09-11,174.0,63.6
Zi2209ps,F,1987-11-21,34,healthy,"Orlando, United States",Orlando,United States,N,N,A couple of times per week,-2,164.0,59.2,0,0,0,0,0,1987-11-21,164.0,59.2
xW7617ca,F,1997-02-23,25,healthy,"Barcelona, Spain",Barcelona,Spain,N,Y,Never,-2,167.0,61.4,0,0,0,-2,0,1997-02-23,167.0,61.4
db4347Pb,F,1995-08-22,26,healthy,"Dubai, United Arab Emirates",Dubai,United Arab Emirates,Y,N,Never,-2,170.0,86.7,0,0,1,0,0,1995-08-22,170.0,86.7
sn3654nj,F,1986-09-12,35,healthy,"Medellin, Colombia",Medellin,Colombia,N,Y,Once per week,-2,164.0,51.1,0,0,0,-2,0,1986-09-12,164.0,51.1
Nh3425pE,F,1987-12-30,34,healthy,"Miami, United States",Miami,United States,N,Y,Once per week,-2,169.0,62.8,0,0,0,-2,0,1987-12-30,169.0,62.8
nL5882DO,F,1997-05-16,25,healthy,"Kumasi, Ghana",Kumasi,Ghana,N,Y,Never,-2,170.0,63.6,0,0,0,-2,0,1997-05-16,170.0,63.6
lQ6064FO,F,1984-08-18,37,underweight,"Rabat, Morocco",Rabat,Morocco,N,Y,1 or 2 times per month,-2,169.0,51.4,0,-1,0,-2,0,1984-08-18,169.0,51.4
fm2939fk,F,2003-09-08,18,healthy,"Punta Arenas, Chile",Punta Arenas,Chile,N,Y,A couple of times per week,-2,165.0,81.7,0,0,0,-2,0,2003-09-08,165.0,81.7
BC6129fA,F,1989-09-13,32,healthy,"Taipei, Taiwan",Taipei,Taiwan,N,Y,Never,-2,166.0,63.4,0,0,0,-2,0,1989-09-13,166.0,63.4
lZ6090gr,F,1984-05-09,38,healthy,"Budapest, Hungary",Budapest,Hungary,N,Y,Never,-2,173.0,92.8,0,0,0,-2,0,1984-05-09,173.0,92.8
Wc0606xd,F,2000-01-18,22,healthy,"Vienna, Austria",Vienna,Austria,N,N,1 or 2 times per month,-2,174.0,72.7,0,0,0,0,0,2000-01-18,174.0,72.7
cO8949vG,F,1997-08-27,24,healthy,"Los Angeles, United States",Los Angeles,United States,N,Y,A couple of times per week,-2,169.0,65.7,0,0,0,-2,0,1997-08-27,169.0,65.7
Ph2002Io,F,1987-06-24,35,healthy,"Conakry, Guinea",Conakry,Guinea,Y,Y,A couple of times per week,-2,169.0,54.3,0,0,1,-2,0,1987-06-24,169.0,54.3
PQ8880Aj,F,1987-02-01,35,healthy,"Budapest, Hungary",Budapest,Hungary,N,Y,A couple of times per week,-2,174.0,72.7,0,0,0,-2,0,1987-02-01,174.0,72.7
dj7646ct,F,1994-11-10,27,healthy,"Bengaluru, India",Bengaluru,India,Y,N,Once per week,-2,172.0,62.1,0,0,1,0,0,1994-11-10,172.0,62.1
oE9376eg,F,1995-11-28,26,healthy,"Brussels, Belgium",Brussels,Belgium,N,Y,A couple of times per week,-2,171.0,64.3,0,0,0,-2,0,1995-11-28,171.0,64.3
bt2816qO,F,1993-09-21,28,healthy,"Honolulu, United States",Honolulu,United States,Y,N,Every other day,-2,173.0,59.9,0,0,1,0,1,1993-09-21,173.0,59.9
IC9521yC,F,1991-06-30,31,healthy,"Rhodes, Greece",Rhodes,Greece,N,N,A couple of times per week,-2,165.0,59.9,0,0,0,0,0,1991-06-30,165.0,59.9
pz3513Nq,F,1991-09-21,30,healthy,"Stockholm, Sweden",Stockholm,Sweden,Y,N,1 or 2 times per month,-2,172.0,59.2,0,0,1,0,0,1991-09-21,172.0,59.2
Ar5150gW,F,1986-08-13,35,healthy,"Dublin, Ireland",Dublin,Ireland,N,Y,A couple of times per week,-2,169.0,54.3,0,0,0,-2,0,1986-08-13,169.0,54.3
Ks5089en,F,1998-05-18,24,healthy,"San Francisco, United States",San Francisco,United States,Y,Y,A couple of times per week,-2,170.0,57.8,0,0,1,-2,0,1998-05-18,170.0,57.8
iP3056Ew,F,1993-10-06,28,healthy,"San Francisco, United States",San Francisco,United States,N,Y,A couple of times per week,-2,167.0,61.4,0,0,0,-2,0,1993-10-06,167.0,61.4
As0509ED,F,1988-08-26,33,healthy,"Karachi, Pakistan",Karachi,Pakistan,N,N,Every other day,-2,175.0,76.6,0,0,0,0,1,1988-08-26,175.0,76.6
ef7080Pv,F,2000-06-03,22,healthy,"Chennai, India",Chennai,India,Y,N,A couple of times per week,-2,169.0,57.1,0,0,1,0,0,2000-06-03,169.0,57.1
Uy2075Pg,F,1996-08-23,25,healthy,"Ibadan, Nigeria",Ibadan,Nigeria,Y,N,A couple of times per week,-2,159.0,53.1,0,0,1,0,0,1996-08-23,159.0,53.1
ns2744tQ,F,1988-11-15,33,healthy,"Chattogram, Bangladesh",Chattogram,Bangladesh,Y,N,Never,-2,158.0,59.9,0,0,1,0,0,1988-11-15,158.0,59.9
yH1152Ma,F,2000-07-02,22,healthy,"Ushuaia, Argentina",Ushuaia,Argentina,N,Y,A couple of times per week,-2,165.0,57.2,0,0,0,-2,0,2000-07-02,165.0,57.2
Uz7023Vr,F,1986-12-15,35,healthy,"Bengaluru, India",Bengaluru,India,N,Y,Never,-2,174.0,66.6,0,0,0,-2,0,1986-12-15,174.0,66.6
YY6391JZ,F,1991-07-02,31,healthy,"Perth, Australia",Perth,Australia,N,Y,1 or 2 times per month,-2,157.0,51.8,0,0,0,-2,0,1991-07-02,157.0,51.8
EJ3641On,F,2005-02-01,17,healthy,"Quito, Ecuador",Quito,Ecuador,N,N,Never,-2,169.0,65.7,0,0,0,0,0,2005-02-01,169.0,65.7
LB8587Ol,F,1989-04-29,33,healthy,"Madrid, Spain",Madrid,Spain,Y,Y,Once per week,-2,169.0,62.8,0,0,1,-2,0,1989-04-29,169.0,62.8
Nq8268Ie,F,2005-10-15,16,healthy,"Los Angeles, United States",Los Angeles,United States,Y,Y,A couple of times per week,-2,156.0,46.2,0,0,1,-2,0,2005-10-15,156.0,46.2
xb9293yC,F,1990-12-30,31,healthy,"Istanbul, Turkey",Istanbul,Turkey,N,Y,A couple of times per week,-2,164.0,75.3,0,0,0,-2,0,1990-12-30,164.0,75.3
hX2749ZF,F,1997-08-03,25,healthy,"New York City, United States",New York City,United States,N,N,A couple of times per week,-2,166.0,52.4,0,0,0,0,0,1997-08-03,166.0,52.4
XJ4208pn,F,1996-04-25,26,healthy,"Tehran, Iran",Tehran,Iran,N,N,A couple of times per week,-2,169.0,57.1,0,0,0,0,0,1996-04-25,169.0,57.1
Ey4766UC,F,1991-04-15,31,healthy,"Ibadan, Nigeria",Ibadan,Nigeria,N,N,A couple of times per week,-2,181.0,65.5,0,0,0,0,0,1991-04-15,181.0,65.5
BQ8981oQ,F,1996-09-20,25,healthy,"Kano, Nigeria",Kano,Nigeria,Y,Y,Never,-2,162.0,49.9,0,0,1,-2,0,1996-09-20,162.0,49.9
MR5046ev,F,1986-10-09,35,healthy,"Moscow, Russia",Moscow,Russia,N,Y,Once per week,-2,171.0,67.3,0,0,0,-2,0,1986-10-09,171.0,67.3
bH6915Io,F,1990-11-19,31,healthy,"Jeddah, Saudi Arabia",Jeddah,Saudi Arabia,Y,Y,Once per week,-2,180.0,100.4,0,0,1,-2,0,1990-11-19,180.0,100.4
fC7954NE,F,2006-03-14,16,healthy,"Conakry, Guinea",Conakry,Guinea,Y,Y,Never,-2,160.0,56.3,0,0,1,-2,0,2006-03-14,160.0,56.3
XW3632ol,F,1996-01-20,26,healthy,"Phnom Penh, Cambodia",Phnom Penh,Cambodia,N,N,Every day,-2,173.0,65.8,0,0,0,0,1,1996-01-20,173.0,65.8
xv6028HW,F,2005-03-19,17,healthy,"Tehran, Iran",Tehran,Iran,N,Y,A couple of times per week,-2,174.0,72.7,0,0,0,-2,0,2005-03-19,174.0,72.7
VO0260UK,F,1991-05-25,31,healthy,"Abidjan, Ivory Coast",Abidjan,Ivory Coast,Y,N,A couple of times per week,-2,174.0,57.5,0,0,1,0,0,1991-05-25,174.0,57.5
vy0154Jw,F,1992-06-11,30,healthy,"Milan, Italy",Milan,Italy,N,N,Once per week,-2,169.0,54.3,0,0,0,0,0,1992-06-11,169.0,54.3
Yr2767zg,F,1998-12-18,23,healthy,"Vancouver, Canada",Vancouver,Canada,N,N,A couple of times per week,-2,195.0,102.7,0,0,0,0,0,1998-12-18,195.0,102.7
pT6211YF,F,1996-05-13,26,healthy,"Darwin, Australia",Darwin,Australia,N,N,1 or 2 times per month,-2,170.0,63.6,0,0,0,0,0,1996-05-13,170.0,63.6
sy6516DJ,F,1998-01-31,24,healthy,"Guayaquil, Ecuador",Guayaquil,Ecuador,N,N,1 or 2 times per month,-2,164.0,51.1,0,0,0,0,0,1998-01-31,164.0,51.1
tE9306jR,F,1983-10-10,38,healthy,"Frankfurt, Germany",Frankfurt,Germany,N,Y,Never,-2,167.0,58.6,0,0,0,-2,0,1983-10-10,167.0,58.6
qp0335aL,F,2003-11-22,18,healthy,"Perth, Australia",Perth,Australia,Y,N,A couple of times per week,-2,175.0,58.2,0,0,1,0,0,2003-11-22,175.0,58.2
ZA3862rv,F,1984-07-11,38,healthy,"Ho Chi Minh City, Vietnam",Ho Chi Minh City,Vietnam,Y,Y,Every day,-2,169.0,65.7,0,0,1,-2,1,1984-07-11,169.0,65.7
qM0470DX,F,2005-10-26,16,healthy,"Copenhagen, Denmark",Copenhagen,Denmark,Y,N,A couple of times per week,-2,170.0,60.7,0,0,1,0,0,2005-10-26,170.0,60.7
iw2301Vz,F,1996-11-17,25,healthy,"Pretoria, South Africa",Pretoria,South Africa,N,N,A couple of times per week,-2,172.0,62.1,0,0,0,0,0,1996-11-17,172.0,62.1
bw7253YB,F,1986-12-05,35,underweight,"Camayenne, Guinea",Camayenne,Guinea,N,N,Once per week,-2,165.0,49.0,0,-1,0,0,0,1986-12-05,165.0,49.0
mm7593Rx,F,1986-12-21,35,healthy,"Porto, Portugal",Porto,Portugal,N,N,Never,-2,170.0,66.5,0,0,0,0,0,1986-12-21,170.0,66.5
Mb4690WE,F,1998-02-13,24,healthy,"Ushuaia, Argentina",Ushuaia,Argentina,N,N,Every other day,-2,166.0,60.6,0,0,0,0,1,1998-02-13,166.0,60.6
Ky9594Lm,F,1985-11-06,36,healthy,"Darwin, Australia",Darwin,Australia,N,N,A couple of times per week,-2,147.0,60.5,0,0,0,0,0,1985-11-06,147.0,60.5
cA3041Zg,F,1988-05-24,34,healthy,"Tokyo, Japan",Tokyo,Japan,N,N,A couple of times per week,-2,172.0,68.0,0,0,0,0,0,1988-05-24,172.0,68.0
iS5139wB,F,1989-11-18,32,healthy,"Surat, India",Surat,India,N,N,1 or 2 times per month,-2,171.0,61.4,0,0,0,0,0,1989-11-18,171.0,61.4
Ll9849zf,F,2005-03-11,17,healthy,"Aleppo, Syria",Aleppo,Syria,N,N,Every day,-2,170.0,72.2,0,0,0,0,1,2005-03-11,170.0,72.2
PM6280xM,F,1984-01-31,38,healthy,"Yaounde, Cameroon",Yaounde,Cameroon,N,Y,A couple of times per week,-2,174.0,69.6,0,0,0,-2,0,1984-01-31,174.0,69.6
NX1705pJ,F,1993-08-08,29,healthy,"Kuala Lumpur, Malaysia",Kuala Lumpur,Malaysia,N,Y,Every other day,-2,168.0,67.7,0,0,0,-2,1,1993-08-08,168.0,67.7
KZ1340Dt,F,1983-04-07,39,healthy,"Cali, Colombia",Cali,Colombia,N,N,A couple of times per week,-2,170.0,66.5,0,0,0,0,0,1983-04-07,170.0,66.5
qV8417mu,F,1995-12-30,26,healthy,"Jeddah, Saudi Arabia",Jeddah,Saudi Arabia,N,Y,Never,-2,159.0,58.1,0,0,0,-2,0,1995-12-30,159.0,58.1
zE4398cQ,F,1984-05-27,38,healthy,"Sydney, Australia",Sydney,Australia,Y,Y,A couple of times per week,-2,157.0,56.7,0,0,1,-2,0,1984-05-27,157.0,56.7
XV3897VN,F,1987-11-06,34,healthy,"Madrid, Spain",Madrid,Spain,N,N,Every other day,-2,175.0,64.3,0,0,0,0,1,1987-11-06,175.0,64.3
EU7167Xq,F,1997-01-09,25,healthy,"Potosi, Bolivia",Potosi,Bolivia,N,Y,A couple of times per week,-2,174.0,99.9,0,0,0,-2,0,1997-01-09,174.0,99.9
HZ4672nt,F,1995-10-22,26,healthy,"Abidjan, Ivory Coast",Abidjan,Ivory Coast,N,N,Every day,-2,170.0,89.6,0,0,0,0,1,1995-10-22,170.0,89.6
tx7675NY,F,2000-10-20,21,healthy,"Amsterdam, Netherlands",Amsterdam,Netherlands,N,Y,A couple of times per week,-2,167.0,72.5,0,0,0,-2,0,2000-10-20,167.0,72.5
Gx6199aB,F,1989-09-18,32,healthy,"Istanbul, Turkey",Istanbul,Turkey,Y,Y,Every other day,-2,181.0,72.1,0,0,1,-2,1,1989-09-18,181.0,72.1
Mk3841wS,F,1995-12-14,26,healthy,"Valparaiso, Chile",Valparaiso,Chile,N,N,Every other day,-2,177.0,84.6,0,0,0,0,1,1995-12-14,177.0,84.6
mF6894Re,F,1982-12-15,39,healthy,"La Paz, Bolivia",La Paz,Bolivia,N,N,Never,-2,167.0,66.9,0,0,0,0,0,1982-12-15,167.0,66.9
eP4652ZB,F,2003-07-26,19,healthy,"Delhi, India",Delhi,India,N,Y,Every day,-2,169.0,71.4,0,0,0,-2,1,2003-07-26,169.0,71.4
rx4621tf,F,2003-04-13,19,healthy,"Amsterdam, Netherlands",Amsterdam,Netherlands,N,Y,Every other day,-2,170.0,57.8,0,0,0,-2,1,2003-04-13,170.0,57.8
MH2465Vk,F,1983-03-20,39,healthy,"Jakarta, Indonesia",Jakarta,Indonesia,N,Y,A couple of times per week,-2,172.0,71.0,0,0,0,-2,0,1983-03-20,172.0,71.0
dR8827eW,F,1999-07-19,23,healthy,"Budapest, Hungary",Budapest,Hungary,N,Y,Once per week,-2,169.0,60.0,0,0,0,-2,0,1999-07-19,169.0,60.0
ft0223dV,F,2006-01-05,16,healthy,"Lahore, Pakistan",Lahore,Pakistan,N,N,Once per week,-2,172.0,68.0,0,0,0,0,0,2006-01-05,172.0,68.0
ws9214Qe,F,2004-01-07,18,healthy,"Sydney, Australia",Sydney,Australia,N,N,Every other day,-2,165.0,73.5,0,0,0,0,1,2004-01-07,165.0,73.5
YK9216Rk,F,1983-08-23,38,healthy,"Antalya, Turkey",Antalya,Turkey,N,N,Never,-2,168.0,56.4,0,0,0,0,0,1983-08-23,168.0,56.4
jK8080RC,F,1988-12-18,33,healthy,"Manila, Philippines",Manila,Philippines,N,Y,Never,-2,176.0,86.7,0,0,0,-2,0,1988-12-18,176.0,86.7
th5849Un,F,1987-04-18,35,healthy,"Antananarivo, Madagascar",Antananarivo,Madagascar,N,Y,A couple of times per week,-2,165.0,57.2,0,0,0,-2,0,1987-04-18,165.0,57.2
EY1972vm,F,1998-07-17,24,healthy,"Lahore, Pakistan",Lahore,Pakistan,N,N,Never,-2,177.0,78.3,0,0,0,0,0,1998-07-17,177.0,78.3
cr6479FM,F,1989-07-30,33,healthy,"Kabul, Afghanistan",Kabul,Afghanistan,N,Y,Once per week,-2,168.0,79.0,0,0,0,-2,0,1989-07-30,168.0,79.0
sW9359uR,F,1999-02-20,23,healthy,"Montevideo, Uruguay",Montevideo,Uruguay,N,N,A couple of times per week,-2,158.0,59.9,0,0,0,0,0,1999-02-20,158.0,59.9
xQ6233AQ,F,1997-11-11,24,healthy,"San Francisco, United States",San Francisco,United States,N,Y,1 or 2 times per month,-2,164.0,59.2,0,0,0,-2,0,1997-11-11,164.0,59.2
TQ0381kQ,F,1998-11-22,23,healthy,"Santiago, Chile",Santiago,Chile,N,Y,Never,-2,170.0,83.8,0,0,0,-2,0,1998-11-22,170.0,83.8
QM8124Nq,F,1991-10-27,30,underweight,"Khartoum, Sudan",Khartoum,Sudan,N,N,A couple of times per week,-2,157.0,39.4,0,-1,0,0,0,1991-10-27,157.0,39.4
dI8867lz,F,1985-05-09,37,underweight,"Luanda, Angola",Luanda,Angola,N,Y,Never,-2,172.0,47.3,0,-1,0,-2,0,1985-05-09,172.0,47.3
Ck0040bL,F,1983-02-03,39,healthy,"Yaounde, Cameroon",Yaounde,Cameroon,Y,Y,A couple of times per week,-2,172.0,68.0,0,0,1,-2,0,1983-02-03,172.0,68.0
